text,category
Feeling unsafe in hostel at night in Block C,Ragging / Safety
Answer scripts not uploaded,Exams / Results
Attendance portal is slow,IT / WiFi
Faculty behavior is rude during peak hours,Faculty / Academics
Menu prices not displayed,Canteen
Office hours unclear during peak hours,Fees / Admin
Long waiting time in canteen,Canteen
Bus cleanliness is poor since yesterday,Transport
Fee deadline extension needed since yesterday,Fees / Admin
Menu prices not displayed in Block C,Canteen
Hostel food quality is very bad,Hostel
Hot water not available in hostel during peak hours,Hostel
Bus stop changed without notice,Transport
Wrong marks updated in portal,Exams / Results
Canteen is overcrowded in Block C,Canteen
Projector not working in seminar hall since yesterday,Infrastructure
Feeling unsafe in hostel at night since yesterday,Ragging / Safety
Drinking water cooler not working in hostel in Block C,Hostel
Seniors are harassing juniors in Block C,Ragging / Safety
Unable to login to student portal in Block C,IT / WiFi
Urgent: class is too fast to understand,Faculty / Academics
No drinking water near canteen since yesterday,Canteen
Urgent: wifi disconnects frequently,IT / WiFi
Lack of green spaces on campus during peak hours,Other
No CCTV in corridor since yesterday,Ragging / Safety
Urgent: broken bench in classroom,Infrastructure
No notes provided by faculty since yesterday,Faculty / Academics
Need alumni mentorship programs,Other
Urgent: no announcement about bus delays,Transport
Security is not available in block B in Block C,Ragging / Safety
Bus route has been changed suddenly during peak hours,Transport
Bonafide certificate delayed in Block C,Fees / Admin
Broken door lock in hostel room,Hostel
Seniors are harassing juniors in Block C,Ragging / Safety
Answer scripts not uploaded during peak hours,Exams / Results
Lights are not working in corridor in Block C,Infrastructure
Result correction request pending during peak hours,Exams / Results
Urgent: mentor meetings are irregular,Faculty / Academics
Mentor meetings are irregular during peak hours,Faculty / Academics
Ragging happening near canteen since yesterday,Ragging / Safety
Urgent: security is not available in block b,Ragging / Safety
Faculty behavior is rude during peak hours,Faculty / Academics
Course outcomes not explained during peak hours,Faculty / Academics
VPN access is failing in Block C,IT / WiFi
VPN access is failing since yesterday,IT / WiFi
Faculty is not responding to doubts,Faculty / Academics
Urgent: classroom is too hot,Infrastructure
Office is not responding,Fees / Admin
Exam timetable not released,Exams / Results
Urgent: portal shows error while uploading,IT / WiFi
Security is not available in block B during peak hours,Ragging / Safety
Safety signage missing during peak hours,Ragging / Safety
Answer scripts not uploaded during peak hours,Exams / Results
Power cut in hostel since morning,Hostel
Urgent: classroom speakers not working,Infrastructure
VPN access is failing,IT / WiFi
Safety signage missing,Ragging / Safety
Urgent: long waiting time in canteen,Canteen
Wardens not responding to complaints since yesterday,Hostel
Power cut in hostel since morning,Hostel
Scholarship amount not credited,Fees / Admin
Course outcomes not explained since yesterday,Faculty / Academics
Classroom is too hot in Block C,Infrastructure
Office is not responding during peak hours,Fees / Admin
Password reset not working during peak hours,IT / WiFi
Need more clubs and activities during peak hours,Other
Need more cultural events,Other
Urgent: campus is too crowded,Other
Unfair internal marks given since yesterday,Faculty / Academics
No ramps for accessibility since yesterday,Infrastructure
Captcha error on login in Block C,IT / WiFi
Urgent: fees portal not opening,Fees / Admin
Urgent: mosquito problem in hostel room,Hostel
Lights are not working in corridor,Infrastructure
No ramps for accessibility during peak hours,Infrastructure
Need more study space since yesterday,Other
Fee deadline extension needed since yesterday,Fees / Admin
Exam center changed suddenly,Exams / Results
Parking space is insufficient,Other
Name correction request pending in Block C,Fees / Admin
Seating arrangement confusion in Block C,Exams / Results
Urgent: admit card download failed,Exams / Results
Bus seats are damaged during peak hours,Transport
Lights are not working in corridor during peak hours,Infrastructure
Exam results are delayed,Exams / Results
No response for TC request,Fees / Admin
Unauthorized people entering campus during peak hours,Ragging / Safety
No water in hostel bathroom in Block C,Hostel
Hostel WiFi not working since yesterday,Hostel
Broken bench in classroom,Infrastructure
Suspicious activity near hostel gate,Ragging / Safety
Water leakage in lab during peak hours,Infrastructure
Emergency helpline not responding in Block C,Ragging / Safety
Feedback not considered,Faculty / Academics
Bus stop changed without notice during peak hours,Transport
Ragging happening near canteen,Ragging / Safety
Urgent: faculty is absent frequently,Faculty / Academics
Server is down during submission,IT / WiFi
Long waiting time in canteen,Canteen
Urgent: internet speed is very slow,IT / WiFi
Exam schedule overlaps since yesterday,Exams / Results
No drinking water near canteen since yesterday,Canteen
Threats received from seniors since yesterday,Ragging / Safety
Teacher arrives late to class in Block C,Faculty / Academics
Bus route has been changed suddenly since yesterday,Transport
Refund not processed during peak hours,Fees / Admin
No notes provided by faculty in Block C,Faculty / Academics
Unable to login to student portal during peak hours,IT / WiFi
Urgent: faculty is absent frequently,Faculty / Academics
Food allergy info not available in Block C,Canteen
Hostel WiFi not working,Hostel
Network issue in library,IT / WiFi
Bus stop changed without notice,Transport
Menu prices not displayed in Block C,Canteen
Need more charging points,Other
No notes provided by faculty in Block C,Faculty / Academics
Transport fee is too high,Transport
No digital payment accepted during peak hours,Canteen
Need more clubs and activities in Block C,Other
Urgent: canteen is overcrowded,Canteen
Parking space is insufficient in Block C,Other
Need more clubs and activities,Other
No proper announcement system since yesterday,Other
Answer scripts not uploaded in Block C,Exams / Results
Internet speed is very slow since yesterday,IT / WiFi
Result correction request pending in Block C,Exams / Results
Feedback not considered,Faculty / Academics
Campus is too crowded during peak hours,Other
Bus cleanliness is poor,Transport
No escort service at night,Ragging / Safety
Office hours unclear during peak hours,Fees / Admin
Air circulation is poor since yesterday,Infrastructure
Urgent: canteen is overcrowded,Canteen
No bus available for evening batch in Block C,Transport
Lift not working in block C since yesterday,Infrastructure
Food is overpriced in canteen in Block C,Canteen
Staff behavior is rude in canteen during peak hours,Canteen
Office hours unclear since yesterday,Fees / Admin
Urgent: need alumni mentorship programs,Other
Urgent: result correction request pending,Exams / Results
Refund not processed during peak hours,Fees / Admin
Suspicious activity near hostel gate since yesterday,Ragging / Safety
Urgent: bus cleanliness is poor,Transport
Security is not available in block B during peak hours,Ragging / Safety
Teacher is not explaining properly in Block C,Faculty / Academics
Air circulation is poor in Block C,Infrastructure
Room light is flickering in hostel,Hostel
Faculty is not responding to doubts,Faculty / Academics
Wrong marks updated in portal in Block C,Exams / Results
No quiet zones in library,Other
Revaluation result pending,Exams / Results
Security is not available in block B in Block C,Ragging / Safety
Cracked wall in classroom in Block C,Infrastructure
Syllabus not completed on time in Block C,Faculty / Academics
No water in hostel bathroom,Hostel
Feeling unsafe in hostel at night during peak hours,Ragging / Safety
Unfair internal marks given during peak hours,Faculty / Academics
Urgent: library closing too early,Other
Verbal abuse by seniors in Block C,Ragging / Safety
Urgent: teaching quality is poor,Faculty / Academics
Network issue in library during peak hours,IT / WiFi
Urgent: library closing too early,Other
Network issue in library since yesterday,IT / WiFi
No seating space in peak hours,Canteen
WiFi disconnects frequently in Block C,IT / WiFi
Transport fee is too high during peak hours,Transport
Food is stale during peak hours,Canteen
Server is down during submission in Block C,IT / WiFi
Canteen closes too early,Canteen
Need more cultural events in Block C,Other
Need more water coolers during peak hours,Other
Bus timings are inconvenient during peak hours,Transport
Ragging happening near canteen since yesterday,Ragging / Safety
Feedback not considered,Faculty / Academics
Poor lighting in parking area during peak hours,Ragging / Safety
Mentor meetings are irregular in Block C,Faculty / Academics
Security guards not attentive during peak hours,Ragging / Safety
Broken bench in classroom since yesterday,Infrastructure
No escort service at night in Block C,Ragging / Safety
Urgent: feedback not considered,Faculty / Academics
Bus breakdown on the way in Block C,Transport
Need more charging points in Block C,Other
Portal shows error while uploading during peak hours,IT / WiFi
Lights are not working in corridor in Block C,Infrastructure
Urgent: safety signage missing,Ragging / Safety
Safety signage missing since yesterday,Ragging / Safety
WiFi disconnects frequently in Block C,IT / WiFi
Lack of green spaces on campus in Block C,Other
Sports equipment is damaged since yesterday,Other
Bus timings are inconvenient since yesterday,Transport
Dirty washroom in hostel block during peak hours,Hostel
